elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
16.136,4.3093,0.3831,-2.6574,1.1797,1.0,3.1416,3.1899,168.85,2.947,1.6899,0.2025,-1.0,-0.7975,fast_right
16.432,4.1991,0.3221,-2.6244,1.0597,1.0,3.1416,3.2117,167.815,2.9289,1.7117,0.1971,-1.0,-0.8029,fast_right
16.724,4.0894,0.2601,-2.6364,0.9399,1.0,3.1416,3.2352,166.78,2.9109,1.7352,0.1912,-1.0,-0.8088,fast_right
17.033,3.9776,0.2021,-2.6934,0.8197,1.0,3.1416,3.2571,165.82,2.8941,1.7571,0.1857,-1.0,-0.8143,right
17.323,3.8654,0.1548,-2.7954,0.6999,1.0,3.1416,3.2763,165.051,2.8807,1.7763,0.1809,-1.0,-0.8191,fast_right
17.606,3.7979,0.1342,-2.8882,0.6199,1.0,3.1416,3.2938,164.76,2.8756,1.7938,0.1765,-1.0,-0.8235,fast_right
17.762,3.7979,0.1342,-2.8882,0.5799,1.0,3.1416,3.3324,164.941,2.8788,1.8324,0.1669,-1.0,-0.8331,right
18.024,3.595,0.1089,-3.1382,0.5,0.9198,-1.5708,3.1994,75.319,1.3146,1.6994,0.2001,-1.0,-0.7999,fast_left
18.323,3.4846,0.1175,3.0006,0.5,0.7999,-1.5708,3.0616,77.122,1.346,1.5616,0.2346,-1.0,-0.7654,fast_left
18.523,3.402,0.1329,2.9256,0.5,0.7199,-1.5708,2.9608,78.564,1.3712,1.4608,0.2598,-1.0,-0.7402,fast_left
18.723,3.3206,0.1535,2.8706,0.5,0.6399,-1.5708,2.8622,80.216,1.4,1.3622,0.2844,-1.0,-0.7156,fast_left
18.932,3.2402,0.1777,2.8356,0.5,0.5597,-1.5708,2.7667,82.064,1.4323,1.2667,0.3083,-1.0,-0.6917,left
19.235,3.1244,0.2157,2.8206,0.5,0.4397,-1.5708,2.634,85.122,1.4857,1.134,0.3415,-1.0,-0.6585,fast_left
19.523,3.0204,0.2488,2.8506,0.5,0.3199,-1.5708,2.5214,88.385,1.5426,1.0214,0.3697,-1.0,-0.6303,fast_left
19.831,2.8985,0.2806,2.9256,0.5,0.1997,-1.5708,2.3999,91.931,1.6045,0.8999,0.4,-1.0,-0.6,left
20.123,2.7783,0.2996,3.0456,0.5,0.0799,-1.5708,2.2888,95.51,1.667,0.7888,0.4278,-1.0,-0.5722,fast_left
20.423,2.6678,0.3012,-3.0882,0.5,-0.0401,-1.5708,2.1945,98.946,1.7269,0.6945,0.4514,-1.0,-0.5486,fast_left
20.623,2.5843,0.2921,-2.9882,0.5,-0.1201,-1.5708,2.1247,101.187,1.766,0.6247,0.4688,-1.0,-0.5312,fast_left
20.823,2.5022,0.2747,-2.8882,0.5,-0.2001,-1.5708,2.0577,103.341,1.8036,0.5577,0.4856,-1.0,-0.5144,fast_left
21.134,2.3832,0.2335,-2.7382,0.5,-0.3203,-1.5708,1.963,106.389,1.8568,0.463,0.537,-1.0,-0.463,fast_left
21.434,2.2718,0.175,-2.5882,0.5,-0.4403,-1.5708,1.8756,109.152,1.9051,0.3756,0.6244,-1.0,-0.3756,fast_left
21.723,2.1703,0.1005,-2.4382,0.5,-0.5601,-1.5708,1.7962,111.58,1.9474,0.2962,0.7038,-1.0,-0.2962,fast_left
22.033,2.0811,0.0117,-2.2882,0.5,-0.6803,-1.5708,1.7259,113.636,1.9833,0.2259,0.7741,-1.0,-0.2259,fast_left
22.323,2.0062,-0.0895,-2.1382,0.5,-0.8001,-1.5708,1.6654,115.259,2.0116,0.1654,0.8346,-1.0,-0.1654,fast_left
22.623,1.9472,-0.2007,-1.9882,0.5,-0.9201,-1.5708,1.6162,116.431,2.0321,0.1162,0.8838,-1.0,-0.1162,left
22.935,1.9072,-0.3141,-1.8382,0.5403,-1.0,0.0,1.5293,26.647,0.4651,0.0293,0.9707,-0.0659,0.9048,left
23.229,1.8876,-0.4172,-1.6882,0.6602,-1.0,0.0,1.3588,25.4,0.4433,0.1412,0.8588,-0.016,0.8428,left
23.523,1.8837,-0.522,-1.5382,0.7801,-1.0,0.0,1.2026,23.419,0.4087,0.2974,0.7026,0.0632,0.7659,fast_left
23.827,1.8964,-0.6318,-1.3882,0.9002,-1.0,0.0,1.0621,20.285,0.354,0.4379,0.5621,0.1886,0.7507,fast_left
24.134,1.9291,-0.7533,-1.2382,1.0203,-1.0,0.0,0.9416,15.186,0.265,0.5584,0.4416,0.3926,0.8342,left
24.435,1.9777,-0.8649,-1.0882,1.1403,-1.0,0.0,0.8482,9.164,0.1599,0.6518,0.3482,0.6334,0.9816,left
24.735,2.0336,-0.9536,-0.9382,1.2603,-1.0,0.0,0.7747,3.43,0.0599,0.7253,0.2747,0.8628,1.1375,left
25.028,2.1022,-1.033,-0.7882,1.3802,-1.0,0.0,0.7228,2.618,0.0457,0.7772,0.2228,0.8953,1.118,left
25.323,2.1819,-1.1013,-0.6382,1.5001,-1.0,0.0,0.6893,8.447,0.1474,0.8107,0.1893,0.6621,0.8514,fast_left
25.623,2.2757,-1.1595,-0.4882,1.6201,-1.0,0.0,0.6748,13.676,0.2387,0.8252,0.1748,0.453,0.6278,fast_left
25.927,2.3913,-1.2095,-0.3382,1.7402,-1.0,0.0,0.684,17.837,0.3113,0.816,0.184,0.2865,0.4705,fast_left
26.232,2.513,-1.2416,-0.1882,1.8603,-1.0,0.0,0.696,20.316,0.3546,0.804,0.196,0.1874,0.3833,fast_left
26.643,2.6381,-1.2552,-0.0382,1.9802,-1.0,0.0,0.7057,21.203,0.3701,0.7943,0.2057,0.1519,0.3576,fast_left
26.798,2.6381,-1.2552,-0.0382,2.0201,-1.0,0.0,0.6687,22.439,0.3916,0.8313,0.1687,0.1025,0.2712,fast_left
27.025,2.8467,-1.236,0.2118,2.1802,-1.0,0.0,0.7071,19.5,0.3403,0.7929,0.2071,0.22,0.4271,fast_left
